code,released,name
high_voltage,1975-02-17,High Voltage
tnt,1975-12-01,T.N.T.
dirty_deeds_done_dirt_cheap,1976-09-20,Dirty Deeds Done Dirt Cheap
let_there_be_rock,1977-03-21,Let There Be Rock
powerage,1978-05-05,Powerage
highway_to_hell,1979-07-27,Highway to Hell
back_in_black,1980-07-25,Back in Black
for_those_about_to_rock_we_salute_you,1981-11-20,For Those About to Rock We Salute You
flick_of_the_switch,1983-08-19,Flick of the Switch
fly_on_the_wall,1985-06-28,Fly on the Wall
blow_up_your_video,1988-01-29,Blow Up Your Video
the_razors_edge,1990-09-24,The Razors Edge
ballbreaker,1995-09-22,Ballbreaker
stiff_upper_lip,2000-02-28,Stiff Upper Lip
black_ice,2008-10-17,Black Ice
rock_or_bust,2014-11-28,Rock or Bust
power_up,2020-11-13,Power Up
